gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,outlier_flag
female,group B,bachelor's degree,standard,none,72.0,72,74,False
female,group C,some college,standard,completed,69.0,90,88,False
female,group B,master's degree,standard,none,90.0,95,93,False
male,group A,associate's degree,free/reduced,none,47.0,57,44,False
male,group C,some college,standard,none,76.0,78,75,False
female,group B,associate's degree,standard,none,71.0,83,78,False
female,group B,some college,standard,completed,88.0,95,92,False
male,group B,some college,free/reduced,none,40.0,43,39,False
male,group D,high school,free/reduced,completed,64.0,64,67,False
female,group B,high school,free/reduced,none,38.0,60,50,False
male,group C,associate's degree,standard,none,58.0,54,52,False
male,group D,associate's degree,standard,none,40.0,52,43,False
female,group B,high school,standard,none,65.0,81,73,False
male,group A,some college,standard,completed,78.0,72,70,False
female,group A,master's degree,standard,none,50.0,53,58,False
female,group C,some high school,standard,none,69.0,75,78,False
male,group C,high school,standard,none,88.0,89,86,False
female,group B,some high school,free/reduced,none,27.0,32,28,True
male,group C,master's degree,free/reduced,completed,46.0,42,46,False
female,group C,associate's degree,free/reduced,none,54.0,58,61,False
male,group D,high school,standard,none,66.0,69,63,False
female,group B,some college,free/reduced,completed,65.0,75,70,False
male,group D,some college,standard,none,44.0,54,53,False
female,group C,some high school,standard,none,69.0,73,73,False
male,group D,bachelor's degree,free/reduced,completed,74.0,71,80,False
male,group A,master's degree,free/reduced,none,73.0,74,72,False
male,group B,some college,standard,none,69.0,54,55,False
female,group C,bachelor's degree,standard,none,67.0,69,75,False
male,group C,high school,standard,none,70.0,70,65,False
female,group D,master's degree,standard,none,62.0,70,75,False
female,group D,some college,standard,none,69.0,74,74,False
female,group B,some college,standard,none,63.0,65,61,False
female,group E,master's degree,free/reduced,none,56.0,72,65,False
male,group D,some college,standard,none,40.0,42,38,False
male,group E,some college,standard,none,97.0,87,82,False
male,group E,associate's degree,standard,completed,81.0,81,79,False
female,group D,associate's degree,standard,none,74.0,81,83,False
female,group D,some high school,free/reduced,none,50.0,64,59,False
female,group D,associate's degree,free/reduced,completed,75.0,90,88,False
male,group B,associate's degree,free/reduced,none,57.0,56,57,False
male,group C,associate's degree,free/reduced,none,55.0,61,54,False
